group_code,X4_mean,X11_mean,X18_mean,X26_mean,X50_mean,X3112_mean
64.0,0.4073443395449998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
65.0,0.4142506681399998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
66.0,0.42115699673499973,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
67.0,0.4280633253299997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
68.0,0.43496965392499964,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
69.0,0.4418759825199996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
70.0,0.44878231111499955,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
71.0,0.45568863970999995,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
72.0,0.4625949683049999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
73.0,0.4695012968999998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
74.0,0.4764076254949998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
75.0,0.4833139540899998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
76.0,0.49022028268499973,6.78e-05,2.33e-08,5.5e-07,9.679999999999998e-05,7.689999999999998e-08
77.0,0.49712661127999974,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
78.0,0.4971266112799997,6.78e-05,2.33e-08,31065.546720549453,9.68e-05,7.69e-08
79.0,0.5040329398749996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
80.0,0.5109392684699996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
81.0,0.517845597065,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
82.0,0.52475192566,6.78e-05,2.3300000000000003e-08,5.5e-07,9.68e-05,7.69e-08
83.0,0.5316582542549999,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
84.0,0.5385645828499999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
85.0,0.5454709114449998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
86.0,0.5523772400399998,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
87.0,0.5592835686349997,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
88.0,0.5661898972299997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
89.0,0.5730962258249996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
90.0,0.58000255442,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
91.0,0.586908883015,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
92.0,0.59381521161,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
93.0,0.6007215402049999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
94.0,0.6076278687999997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
95.0,0.6145341973949998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
96.0,0.6145341973949998,6.78e-05,2.33e-08,31065.546720549453,9.68e-05,7.69e-08
97.0,0.6214405259899998,6.780000000000001e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
98.0,0.6283468545849997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
99.0,0.6352531831799997,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
100.0,0.6421595117750001,6.78e-05,2.3299999999999997e-08,5.5e-07,9.679999999999998e-05,7.69e-08
101.0,0.64906584037,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
102.0,0.655972168965,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
103.0,0.66287849756,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
104.0,0.6697848261549999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
105.0,0.6766911547499999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
106.0,0.6835974833449998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
107.0,0.6905038119399999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
108.0,0.6974101405350002,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.690000000000001e-08
109.0,0.70431646913,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
110.0,0.7112227977250001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
111.0,0.71812912632,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
112.0,0.725035454915,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
113.0,0.7319417835099999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
114.0,0.7388481121049999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
115.0,0.7457544406999997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
116.0,0.7526607692949998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.689999999999998e-08
117.0,0.7595670978900002,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
118.0,0.7664734264850003,6.78e-05,2.3300000000000003e-08,5.5e-07,9.68e-05,7.69e-08
119.0,0.7733797550800001,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
120.0,0.7802860836750001,6.78e-05,2.3300000000000003e-08,5.5e-07,9.68e-05,7.69e-08
121.0,0.78719241227,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
122.0,0.794098740865,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
123.0,0.8010050694599999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
124.0,0.8079113980549995,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
125.0,0.8148177266499999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
126.0,0.8217240552449998,6.78e-05,2.3299999999999997e-08,5.5e-07,9.68e-05,7.69e-08
127.0,0.8286303838399998,6.78e-05,2.3299999999999997e-08,5.5e-07,9.679999999999998e-05,7.69e-08
128.0,0.8355367124349997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
129.0,0.8424430410299997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
130.0,0.8493493696249996,6.78e-05,2.3299999999999997e-08,5.5e-07,9.680000000000001e-05,7.69e-08
131.0,0.8493493696249996,1504.2543947322,2.33e-08,5.5e-07,9.68e-05,7.69e-08
132.0,0.8562556982199996,6.78e-05,2.3300000000000003e-08,5.5e-07,9.680000000000001e-05,7.69e-08
133.0,0.8631620268149995,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
134.0,0.8700683554099995,6.78e-05,2.3300000000000003e-08,5.5e-07,9.680000000000001e-05,7.69e-08
135.0,0.8769746840049999,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.690000000000001e-08
136.0,0.8838810125999998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
137.0,0.8907873411949997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
138.0,0.8976936697899998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
139.0,0.9045999983849997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
140.0,0.9115063269799997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
141.0,0.9184126555749996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
142.0,0.9253189841699997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
143.0,0.9253189841699996,6.78e-05,2.33e-08,5.5e-07,159759.8977,7.69e-08
144.0,0.932225312765,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
145.0,0.9391316413599999,6.78e-05,2.3300000000000003e-08,5.5e-07,9.680000000000001e-05,7.69e-08
146.0,0.9460379699549999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
147.0,0.9529442985499998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
148.0,0.9598506271449998,6.78e-05,2.33e-08,5.5e-07,9.679999999999998e-05,7.69e-08
149.0,0.9667569557399998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
150.0,0.9736632843349997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
151.0,0.9805696129299998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
152.0,0.9874759415249997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
153.0,0.99438227012,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
154.0,1.0151012559049999,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
155.0,1.0220075844999998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
156.0,1.0358202416899998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
157.0,1.0427265702849997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
158.0,1.06344555607,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
159.0,1.0979771990449998,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
160.0,1.1117898562349997,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
161.0,1.125602513425,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
162.0,1.125602513425,6.78e-05,2.33e-08,13296053.996160313,9.680000000000001e-05,7.69e-08
163.0,1.13250884202,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
164.0,1.139415170615,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
165.0,1.14632149921,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
166.0,1.2222911137549999,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
167.0,1.28444807111,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
168.0,1.4225746430100004,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
169.0,1.4778252717699996,6.78e-05,2.33e-08,5.5e-07,9.680000000000001e-05,7.69e-08
170.0,1.68501512962,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
171.0,1.7678910727599995,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
172.0,1.8231417015200002,1504.2543947322,2.33e-08,5.5e-07,9.68e-05,7.69e-08
173.0,2.0096125735849997,6.78e-05,272049414.7,5.5e-07,9.68e-05,7.69e-08
174.0,2.396366974905,6.78e-05,816148.2441000233,8915811.90864039,9.68e-05,7.69e-08
175.0,2.4378049464749996,6.78e-05,2.33e-08,5.5e-07,9.68e-05,7.69e-08
176.0,4.475171882,13538.2890101898,2.33e-08,5.5e-07,9.68e-05,7.69e-08
